snt_id	term	definition	positive	negative
G11.1_2892036907_10	MAVNet	MAVNet refers to a network or system involving the coordination and communication among Mini Aerial Vehicles (MAVs), which are small unmanned aerial vehicles or drones	MAVNet, short for Micro Aerial Vehicle Network, is a novel communication protocol designed specifically for enabling efficient and reliable communication among multiple micro aerial vehicles in complex environments.|The MAVNet protocol incorporates advanced routing algorithms and adaptive transmission strategies to support seamless data exchange and coordination among micro aerial vehicles during collaborative tasks.	Researchers have been investigating the impact of varying network parameters on the performance of MAVNet in real-world scenarios involving multiple MAVs.|MAVNet has shown promising results in experiments involving swarms of micro aerial vehicles engaged in tasks such as environmental monitoring and disaster response.
G01.2_1448624402_3	descriptive decision theory	_x000D_	NA	NA
Descriptive decision theory aims to describe how people make decisions and what influences their choices in various scenarios.|It is concerned with understanding the psychological, cognitive, and emotional factors that affect decision-making processes.	In the field of computer science, descriptive decision theory is often applied to analyze user behavior in interactive systems without explicitly defining the concept.|Researchers use descriptive decision theory to study user preferences and tendencies in human-computer interaction, focusing on practical applications rather than theoretical definitions.	NA	NA	NA
G01.1_1500084159_1	Body Area Networks	A Body Area Network (BAN) is a type of wireless network that connects wearable devices.	Body Area Networks refer to interconnected wearable and implantable sensors that monitor various physiological parameters of the human body.|These networks enable continuous health monitoring and real-time data transmission for medical diagnosis and treatment.	The development of body area networks has revolutionized the field of telemedicine, allowing healthcare providers to remotely monitor patients' vital signs and health status without explicitly defining the concept.|In the context of computer science, body area networks are integrated into smart healthcare systems for seamless data collection and analysis, focusing on practical implementations rather than theoretical definitions.
G01.1_1500084159_4	Patient Sensing Device	A Patient Sensing Device (PSD) is an electronic device that collects and transmits data about a patient's health or physiological parameters.	A patient sensing device is a wearable or non-invasive technology used to monitor and collect physiological data from patients, such as heart rate, blood pressure, temperature, and oxygen saturation.|Patient sensing devices are designed to provide continuous and remote monitoring of a patient's health status, allowing for early detection of any abnormalities or changes in vital signs.	The patient sensing device market is expected to grow significantly due to the increasing prevalence of chronic diseases and the rising demand for remote patient monitoring.|Researchers are exploring the integration of artificial intelligence algorithms into patient sensing devices to enhance the accuracy and efficiency of health data analysis.|The use of patient sensing devices in clinical trials has shown promising results in improving data collection and patient compliance.|Several companies have developed innovative patient sensing devices with advanced features for personalized healthcare and wellness management.
G01.1_1500084159_4	PSD	A Patient Sensing Device (PSD) is an electronic device that collects and transmits data about a patient's health or physiological parameters.	PSD, short for Power Spectral Density, is a measure of the power distribution of a signal with respect to frequency.|In signal processing, the PSD provides valuable information about the frequency components present in a signal and their respective power levels.	The analysis of PSD data revealed significant oscillatory patterns in the EEG signals of the study participants.|The implementation of PSD estimation algorithms in wireless communication systems has led to improvements in signal-to-noise ratio and spectral efficiency.|Researchers have proposed a novel approach for PSD estimation based on deep learning techniques to address non-stationary signal processing challenges.|The PSD of the audio signal exhibited distinct peaks corresponding to the harmonics of the fundamental frequency.
G01.1_1500084159_4	Healthcare systems	A healthcare system is an organized network of individuals, institutions, and resources that delivers health services to meet the health needs of a population.	Healthcare systems refer to the organized structures and processes put in place to deliver healthcare services to individuals and populations.|Healthcare systems can be defined as the interconnected network of facilities, organizations, and professionals that provide healthcare services to meet the health needs of a target population.	The integration of healthcare systems with advanced data analytics can lead to improved patient outcomes and more efficient resource allocation.|The interoperability of healthcare systems is crucial for seamless exchange of patient information between different healthcare providers.
G01.1_1500084159_5	detachable PSD	A detachable PSD is a Patient Sensing Device that can be removed.	The detachable PSD (Power Spectral Density) refers to a specific type of signal processing technique used in the analysis of power distribution within a given signal or system.|In computer science, the detachable PSD is a tool for separating the power of a signal into its frequency components.	The detachable PSD method has been widely used in the field of image processing for feature extraction and pattern recognition.|Researchers have proposed a novel algorithm for detachable PSD estimation in non-stationary signal processing applications.
G01.1_1500084159_9	Medical Service Provider	A medical service provider (MPS) is an individual or entity that is licensed or otherwise authorized to provide medical care or treatment.	A Medical Service Provider (MSP) is a company or organization that offers various medical services, such as telemedicine, electronic health records management, and medical billing solutions for healthcare providers.|In the context of computer science, a Medical Service Provider (MSP) refers to a software or platform that facilitates the delivery of healthcare services, including appointment scheduling, patient data management, and online consultations.	The integration of blockchain technology with the medical service provider system can enhance the security and privacy of electronic health records.|Many medical service providers are now adopting artificial intelligence algorithms to improve diagnostic accuracy and treatment recommendations.|The role of a medical service provider in the context of healthcare data exchange is crucial for ensuring interoperability and seamless information sharing among different healthcare systems.|The partnership between a medical service provider and a pharmaceutical company can lead to the development of innovative digital health solutions.
G01.1_1500084159_9	MSP	A medical service provider (MPS) is an individual or entity that is licensed or otherwise authorized to provide medical care or treatment.	MSP, short for Medical Service Provider, is an essential component of the healthcare ecosystem that offers a wide range of technological solutions to improve patient care and operational efficiency.|In computer science, MSP stands for Medical Service Provider, which encompasses software applications, digital platforms, and information systems used in the healthcare industry to streamline processes and enhance patient experience.	The MSP model focuses on delivering healthcare services through virtual channels, reducing the need for in-person consultations and appointments.|The MSP software integrates electronic health records, telemedicine capabilities, and patient engagement tools to create a comprehensive healthcare management platform.|Healthcare organizations rely on MSP solutions to optimize resource allocation, improve care coordination, and enhance the overall quality of patient care.|The adoption of MSP technologies has led to significant advancements in remote patient monitoring, personalized medicine, and predictive analytics.
G01.1_1500084159_9	GSM network	A Global System for Mobile Communications (GSM) network is a cellular network that uses digital signals to transmit voice and data.	GSM network refers to a standard set of rules for cellular networks to provide mobile communication globally.|A GSM network is a type of digital mobile network that is based on the second-generation (2G) cellular technology.	The GSM network experienced a significant increase in data traffic due to the widespread use of smartphones and mobile devices, leading to the need for advanced network optimization techniques.|The integration of GSM network technology with Internet of Things (IoT) devices has raised concerns about security vulnerabilities and the potential for unauthorized access to sensitive data.|The expansion of GSM network coverage in rural areas has been a challenge due to the limited availability of infrastructure and resources.|The GSM network architecture consists of several functional entities including the Mobile Station (MS), Base Station Subsystem (BSS), and Network Switching Subsystem (NSS).
G01.1_1511670876_1	personal digital assistant-based clinical decision support system	A personal digital assistant (PDA)-based clinical decision support system (CDSS) is a computer program that helps healthcare providers make better decisions about patient care.	A personal digital assistant-based clinical decision support system is designed to assist healthcare professionals in making informed decisions about patient care by providing relevant medical information and treatment recommendations.|The integration of a personal digital assistant-based clinical decision support system into electronic health records has the potential to improve clinical workflow efficiency and enhance the quality of patient care.	The adoption of personal digital assistant-based clinical decision support systems in healthcare institutions has been hindered by concerns related to data privacy, security, and regulatory compliance.|The effectiveness of a personal digital assistant-based clinical decision support system depends on the accuracy and reliability of the medical knowledge base and algorithms used for generating recommendations.|The implementation of a personal digital assistant-based clinical decision support system requires careful consideration of user interface design and seamless integration with existing healthcare IT infrastructure.|Healthcare providers have expressed the need for personalized customization options in a personal digital assistant-based clinical decision support system to align with their specific clinical practice and patient population.
G01.1_1511670876_1	CDSS	A clinical decision support system (CDSS) is a computerized system that provides healthcare providers with evidence-based information to aid in their decision-making.	A Clinical Decision Support System (CDSS) is a computer-based information system that provides healthcare professionals with actionable clinical knowledge and patient-related information to enhance patient care.|In computer science, a CDSS is a software system that assists healthcare professionals in making clinical decisions by integrating patient data with medical knowledge.	CDSS is widely used in the context of medical diagnosis and treatment planning.|The integration of CDSS into electronic health record systems has the potential to improve healthcare quality and patient safety.|CDSS often utilizes patient data, medical guidelines, and other relevant information to generate patient-specific recommendations for healthcare professionals.|The development of CDSS involves the integration of artificial intelligence, machine learning, and clinical decision-making models.
G01.1_1511670876_3	CDSS	A clinical decision support system (CDSS) is a computerized system that provides healthcare providers with evidence-based information to aid in their decision-making.	A Clinical Decision Support System (CDSS) is a computer-based information system that provides healthcare professionals with actionable clinical knowledge and patient-related information to enhance patient care.|In computer science, a CDSS is a software system that assists healthcare professionals in making clinical decisions by integrating patient data with medical knowledge.	CDSS is widely used in the context of medical diagnosis and treatment planning.|The integration of CDSS into electronic health record systems has the potential to improve healthcare quality and patient safety.|CDSS often utilizes patient data, medical guidelines, and other relevant information to generate patient-specific recommendations for healthcare professionals.|The development of CDSS involves the integration of artificial intelligence, machine learning, and clinical decision-making models.
G01.1_1511670876_8	CDSS	A clinical decision support system (CDSS) is a computerized system that provides healthcare providers with evidence-based information to aid in their decision-making.	A Clinical Decision Support System (CDSS) is a computer-based information system that provides healthcare professionals with actionable clinical knowledge and patient-related information to enhance patient care.|In computer science, a CDSS is a software system that assists healthcare professionals in making clinical decisions by integrating patient data with medical knowledge.	CDSS is widely used in the context of medical diagnosis and treatment planning.|The integration of CDSS into electronic health record systems has the potential to improve healthcare quality and patient safety.|CDSS often utilizes patient data, medical guidelines, and other relevant information to generate patient-specific recommendations for healthcare professionals.|The development of CDSS involves the integration of artificial intelligence, machine learning, and clinical decision-making models.
G01.1_1511670876_9	CDSS	A clinical decision support system (CDSS) is a computerized system that provides healthcare providers with evidence-based information to aid in their decision-making.	A Clinical Decision Support System (CDSS) is a computer-based information system that provides healthcare professionals with actionable clinical knowledge and patient-related information to enhance patient care.|In computer science, a CDSS is a software system that assists healthcare professionals in making clinical decisions by integrating patient data with medical knowledge.	CDSS is widely used in the context of medical diagnosis and treatment planning.|The integration of CDSS into electronic health record systems has the potential to improve healthcare quality and patient safety.|CDSS often utilizes patient data, medical guidelines, and other relevant information to generate patient-specific recommendations for healthcare professionals.|The development of CDSS involves the integration of artificial intelligence, machine learning, and clinical decision-making models.
G01.1_1511670876_1	nonsteroidal anti-inflammatory drug	A nonsteroidal anti-inflammatory drug (NSAID) is a type of medication that reduces pain, inflammation, and fever.	Nonsteroidal anti-inflammatory drugs, commonly referred to as NSAIDs, are a class of medications that provide anti-inflammatory, analgesic, and antipyretic effects without the use of steroids.|The mechanism of action of nonsteroidal anti-inflammatory drugs involves inhibiting the activity of the enzymes cyclooxygenase-1 (COX-1) and cyclooxygenase-2 (COX-2), which are involved in the production of prostaglandins.	In computer science, the term 'nonsteroidal anti-inflammatory drug' is used metaphorically to describe a type of algorithm that suppresses 'inflammatory' errors or warnings in a software system without using a 'steroid-like' approach.|The efficiency of the algorithm can be compared to the effects of nonsteroidal anti-inflammatory drugs in the medical field, as it aims to reduce the 'inflammation' caused by coding errors or inefficiencies.
G01.1_1511670876_1	NSAID	A nonsteroidal anti-inflammatory drug (NSAID) is a type of medication that reduces pain, inflammation, and fever.	NSAID is an acronym for nonsteroidal anti-inflammatory drug, which is a type of medication commonly used to reduce inflammation, pain, and fever without the use of steroids.|The use of NSAIDs is often associated with the risk of gastrointestinal complications due to their effects on prostaglandin synthesis.	In computer science, the abbreviation 'NSAID' can be used as a mnemonic for a specific programming principle or best practice, serving as a reminder to 'reduce inflammation' within the codebase by addressing potential errors or inefficiencies.|The acronym 'NSAID' can be employed in software development discussions to symbolize the need to 'alleviate inflammation' within the system by implementing effective error-handling mechanisms and debugging strategies.
G01.1_1511670876_2	PDA-based CDSS suite	A personal digital assistant (PDA)-based clinical decision support system (CDSS) is a computer program that helps healthcare providers make better decisions about patient care.	A PDA-based CDSS suite refers to a Personal Digital Assistant (PDA) that is equipped with a Clinical Decision Support System (CDSS) to provide healthcare professionals with quick access to medical information and decision-making tools.|The PDA-based CDSS suite integrates patient data, clinical guidelines, and other relevant information to assist healthcare providers in making accurate diagnoses and treatment decisions.	The hospital recently implemented a new PDA-based CDSS suite to improve the efficiency of medical record keeping and data retrieval.|The research study evaluated the usability of a PDA-based CDSS suite in a primary care setting, focusing on the impact on clinical decision-making processes.|The PDA-based CDSS suite has been gaining popularity among healthcare professionals due to its potential to streamline workflow and improve patient care.
G01.1_1511670876_3	NSAID-related gastrointestinal risk	NSAID-related gastrointestinal risk is the most common adverse effects of NSAIDs	NSAID-related gastrointestinal risk refers to the potential of nonsteroidal anti-inflammatory drugs (NSAIDs) to cause adverse effects in the gastrointestinal tract, such as ulcers, bleeding, and perforation.|The NSAID-related gastrointestinal risk is a major concern in the clinical use of NSAIDs due to its potential to lead to serious complications.	The study investigated the correlation between NSAID-related gastrointestinal risk and the use of proton pump inhibitors among elderly patients.|Researchers analyzed the factors contributing to NSAID-related gastrointestinal risk in a cohort of arthritis patients.|The clinical trial focused on the incidence of NSAID-related gastrointestinal risk in patients with chronic pain conditions.|A new medication was developed to mitigate the NSAID-related gastrointestinal risk associated with long-term NSAID use.
G01.1_1511670876_4	standardized patients	A standardized patient (SP), also known as a simulated patient, is a person who is trained to portray a patient with a specific medical condition.	Standardized patients are individuals trained to portray a specific set of symptoms or medical history in a consistent and standardized manner for the purpose of medical education and assessment.|In medical education, standardized patients are used to simulate real-life scenarios for students to practice clinical skills and communication with patients.	The medical school implemented a new curriculum that includes interactions with standardized patients in various clinical contexts.|The research project explored the effectiveness of using standardized patients in assessing clinical competence among medical students.|The hospital simulation center provides training sessions with standardized patients to enhance the communication skills of healthcare professionals.|A new study compared the performance of medical students in history-taking with standardized patients versus traditional written exams.
G01.1_1511670876_4	SPs	A standardized patient (SP), also known as a simulated patient, is a person who is trained to portray a patient with a specific medical condition.	SPs refer to Service Providers, which are entities that provide network services in a computer network. These services can include data storage, email services, domain hosting, and more.|In computer science, SPs are responsible for delivering a wide range of services, such as virtual private networks (VPNs), cloud computing, and online storage solutions.	The security of the network was compromised due to a breach in the SPs' infrastructure, leading to unauthorized access to sensitive data.|The research focuses on the impact of different SPs on the overall performance and reliability of the network infrastructure.
G01.1_1511670876_5	SPs	A standardized patient (SP), also known as a simulated patient, is a person who is trained to portray a patient with a specific medical condition.	SPs refer to Service Providers, which are entities that provide network services in a computer network. These services can include data storage, email services, domain hosting, and more.|In computer science, SPs are responsible for delivering a wide range of services, such as virtual private networks (VPNs), cloud computing, and online storage solutions.	The security of the network was compromised due to a breach in the SPs' infrastructure, leading to unauthorized access to sensitive data.|The research focuses on the impact of different SPs on the overall performance and reliability of the network infrastructure.
G01.1_1511670876_7	prescribing of NSAIDs	A nonsteroidal anti-inflammatory drug (NSAID) prescription is a written order from a doctor or other healthcare provider authorizing a patient to take a specific NSAID medication.	Prescribing of NSAIDs involves the use of nonsteroidal anti-inflammatory drugs to manage pain and inflammation in various conditions.|The prescribing of NSAIDs requires careful consideration of the patient's medical history, potential drug interactions, and the risk of side effects.	A computerized decision support system (CDSS) can assist healthcare providers in the prescribing of NSAIDs by providing real-time alerts for potential drug interactions and contraindications.|The development of a CDSS for the prescribing of NSAIDs aims to improve the accuracy and safety of medication management in clinical settings.
G01.1_1511670876_9	PDA-based CDSS	A personal digital assistant (PDA)-based clinical decision support system (CDSS) is a computer program that helps healthcare providers make better decisions about patient care.	A PDA-based CDSS is a Clinical Decision Support System that is specifically designed to run on a Personal Digital Assistant (PDA) device for mobile healthcare decision support.|PDA-based CDSS involves the integration of clinical knowledge and patient-specific information into a handheld device to provide decision support at the point of care.	Doctors in the emergency department rely on the PDA-based CDSS to quickly access treatment guidelines and drug interaction information.|The PDA-based CDSS application was developed to improve medication management and reduce errors in prescribing.|A study compared the effectiveness of PDA-based CDSS with traditional paper-based protocols in emergency medical settings.
G01.1_1511670876_9	NSAID prescription	A nonsteroidal anti-inflammatory drug (NSAID) prescription is a written order from a doctor or other healthcare provider authorizing a patient to take a specific NSAID medication.	The NSAID prescription aims to alleviate pain, reduce inflammation, and sometimes lower fever by inhibiting the production of prostaglandins, which are hormone-like substances that cause pain and inflammation in the body.|NSAID prescription involves the use of nonsteroidal anti-inflammatory drugs to manage conditions such as arthritis, menstrual cramps, acute pain, and chronic musculoskeletal pain.	The study analyzed the trends in NSAID prescription rates among elderly patients with osteoarthritis over a 10-year period.|The impact of NSAID prescription on the risk of gastrointestinal bleeding was a major concern in the study on the management of chronic pain in elderly patients.
M1_27_1	MPS	Muscle protein synthesis (MPS) is the process by which the body builds new muscle tissue.	MPS, or Message Passing System, is a computational framework that enables the exchange of messages between various computing nodes in a parallel processing environment.|MPS refers to a parallel programming model that allows different processes to communicate by sending and receiving messages.	The study evaluated the performance of MPS in distributed computing environments with varying network speeds and node configurations.|The implementation of MPS in large-scale data analytics systems was a major focus of the research project on optimizing distributed computing.
M1_25_1	MPS	Biological producing process of muscular proteins.	MPS, or Message Passing System, is a computational framework that enables the exchange of messages between various computing nodes in a parallel processing environment.|MPS refers to a parallel programming model that allows different processes to communicate by sending and receiving messages.	The study evaluated the performance of MPS in distributed computing environments with varying network speeds and node configurations.|The implementation of MPS in large-scale data analytics systems was a major focus of the research project on optimizing distributed computing.
M1_23_1	MPS	The synthesis of myofibrillar proteins (MPS) is primarily responsible for changes in skeletal muscle mass following resistance training	MPS, or Message Passing System, is a computational framework that enables the exchange of messages between various computing nodes in a parallel processing environment.|MPS refers to a parallel programming model that allows different processes to communicate by sending and receiving messages.	The study evaluated the performance of MPS in distributed computing environments with varying network speeds and node configurations.|The implementation of MPS in large-scale data analytics systems was a major focus of the research project on optimizing distributed computing.
M1_24_1	MPS	Muscle protein synthesis (MPS) is a metabolic process that produces protein, facilitating the maintenance or building of muscle mass.	MPS, or Message Passing System, is a computational framework that enables the exchange of messages between various computing nodes in a parallel processing environment.|MPS refers to a parallel programming model that allows different processes to communicate by sending and receiving messages.	The study evaluated the performance of MPS in distributed computing environments with varying network speeds and node configurations.|The implementation of MPS in large-scale data analytics systems was a major focus of the research project on optimizing distributed computing.
M1_10_1	MPS	Muscle Protein Synthesis (MPS) is the metabolic process that describes the incorporation of amino acids into bound skeletal muscle proteins	MPS, or Message Passing System, is a computational framework that enables the exchange of messages between various computing nodes in a parallel processing environment.|MPS refers to a parallel programming model that allows different processes to communicate by sending and receiving messages.	The study evaluated the performance of MPS in distributed computing environments with varying network speeds and node configurations.|The implementation of MPS in large-scale data analytics systems was a major focus of the research project on optimizing distributed computing.
G01.1_1493916683_1	M-CALL	It is language learning that is assisted by the use of technological devices such as smartphones, tablets, computers.	M-CALL refers to a mobile communication system that integrates voice and data services, providing users with the ability to make phone calls and access online resources simultaneously.|In computer science, M-CALL is defined as a mobile communication system that enables seamless voice and data integration for users on the move.	The M-CALL protocol was mentioned in the context of the new software update, but its exact functionality was not discussed in the meeting.|The research paper highlighted the importance of M-CALL in improving mobile communication, without providing a detailed explanation of its technical aspects.
G01.1_1493916683_3	public wireless LAN	It is a local area network which uses wireless technology to connect devices within a geographical area.	A public wireless LAN refers to a network that allows users to connect to the internet without the need for physical cables, commonly found in public places such as airports, cafes, and libraries.|Public wireless LANs are defined as wireless networks that are accessible to the general public, providing internet connectivity without the constraints of wired connections.	The security vulnerabilities of public wireless LANs were discussed in the cybersecurity seminar, but the specific encryption methods were not elaborated upon.|The public wireless LAN at the conference venue experienced connectivity issues, leading to disruptions during the live streaming of the event.
G01.1_1493916683_5	Korean Proficiency Test	It is a nationally certified test to assess individuals' proficiency in the Korean language.	The Korean Proficiency Test is an assessment designed to measure an individual's Korean language proficiency, covering areas such as reading, writing, listening, and speaking skills.|Korean Proficiency Test evaluates the ability of non-native speakers to use the Korean language in a variety of contexts, such as academic, professional, and daily life settings.	The results of the Korean Proficiency Test will be used to determine the eligibility of the candidates for the Korean language scholarship program.|In the upcoming semester, the university will offer preparatory courses for students planning to take the Korean Proficiency Test.
G01.1_1493916683_5	KPT	It is a nationally certified test to assess individuals' proficiency in the Korean language.	KPT is an abbreviation commonly used to refer to the Korean Proficiency Test, an evaluation of language proficiency in the Korean language.|Candidates who pass the KPT with high scores are often eligible for various international exchange programs and academic opportunities in South Korea.	The university has designated a specific room for students to take the KPT next week.|The registration deadline for the KPT is approaching, and interested individuals are encouraged to apply as soon as possible.
G01.1_1504856008_1	smartcard	A smart card is a portable, plastic card containing an embedded integrated circuit chip, which provides the card with data storage and processing capabilities. This chip enables the smart card to securely store and process various types of information, including personal identification details, cryptographic keys, and payment credentials.	A smartcard is a portable physical device that can be used to store and manage digital credentials for authentication, financial transactions, and secure access to systems and networks.|Smartcards are embedded with integrated circuits that can process data and communicate with a reader. They are commonly used in applications such as SIM cards for mobile phones and electronic payment systems.	The smartcard reader communicates with the smartcard to authenticate the user before granting access to the encrypted data on the card.|The smartcard technology has evolved to include advanced security features such as biometric authentication and secure elements for protecting sensitive information.|Smartcards are widely used in public transportation systems for fare collection and access control to restricted areas.|The smartcard-based electronic passport contains biometric data and digital signatures to enhance security and prevent identity theft.
G01.1_1504856008_5	tamper	Tamper refers to the deliberate act of interfering with, altering, or manipulating something in a manner that is unauthorized or intended to cause damage, deception, or compromise.	Tampering refers to the unauthorized alteration of data or code within a computer system or software application.|In computer security, tampering is a serious threat that can compromise the integrity and reliability of digital information.	The security system in place can detect any tamper attempt and immediately alert the network administrator for further investigation.|Tamper-resistant hardware components are essential for ensuring the integrity of sensitive data in cloud computing environments.
G01.1_1504856008_7	nontrivial distributed system	A nontrivial distributed system is a network of interconnected components or nodes, typically spanning multiple locations or networks, which requires significant design, implementation, or management effort due to its intricate architecture, diverse functionalities, or scalability requirements.	A nontrivial distributed system involves multiple interconnected computers or nodes that work together to achieve complex computational tasks, such as large-scale data processing or high-performance computing.|In computer science, the design and implementation of a nontrivial distributed system require specialized knowledge in areas like fault tolerance, load balancing, and network communication.	The performance of the nontrivial distributed system improved significantly after the latest software update, which optimized the data transmission protocols.|The research paper discusses the challenges of integrating machine learning algorithms into a nontrivial distributed system for real-time data analysis.
G01.1_1516508996_2	RV4640	A specific model or type of processor made by IDT, possibly used in the communications device.	RV4640 is a high-performance, low-power RISC-V processor designed for embedded and IoT applications.|The RV4640 processor features a multi-core design with advanced power management capabilities.	The RV4640 processor's performance is being compared to other RISC-V processors in the market.|The RV4640 processor's architecture allows for seamless integration with various operating systems and development environments.
G01.1_1516508996_2	processing engine	A processing engine refers to a specialized system within a device or software architecture responsible for executing computational tasks, manipulating data, and performing operations according to predefined instructions or algorithms.	A processing engine refers to the core component of a software system responsible for executing data processing tasks.|The processing engine utilizes parallel processing techniques to efficiently handle large volumes of data.	The processing engine's efficiency is a critical factor in the overall performance of the data analytics platform.|The processing engine's integration with distributed computing frameworks enhances the scalability of the entire system.
G01.1_1516508996_3	IDT ATM NIC	An IDT ATM NIC refers to a network interface card (NIC) manufactured by Integrated Device Technology (IDT), specifically engineered to facilitate communication within Asynchronous Transfer Mode (ATM) networks. This NIC serves as a crucial intermediary component, enabling devices such as routers, switches, or network appliances to connect to and exchange data across ATM-based networks seamlessly.	IDT ATM NIC refers to the Integrated Digital Terminal Asynchronous Transfer Mode Network Interface Card, which is a network interface card used to connect a computer to an ATM network.|The IDT ATM NIC is designed to support the high-speed data transfer requirements of Asynchronous Transfer Mode (ATM) networks.	The IDT ATM NIC can experience compatibility issues when integrated with older ATM network infrastructures.|The increasing demand for higher bandwidth and lower latency has led to the development of more advanced versions of ATM NICs, making the IDT ATM NIC less commonly used in modern network setups.
G01.1_1516508996_4	two way pager	A two-way pager is a portable electronic communication device designed to send and receive messages wirelessly. Allows users to both send and receive messages, enabling two-way communication. This device typically features a small screen and a keyboard or keypad for composing messages. It communicates with a paging network or wireless service provider to send and receive messages, often using radio frequencies or cellular networks.	A two-way pager is a communication device that allows users to send and receive messages, typically using a wireless network, enabling two-way communication similar to text messaging.|Two-way pagers are equipped with a display screen and a keyboard for users to read and respond to incoming messages.	The emergence of smartphones and mobile data networks has rendered two-way pagers obsolete for most personal and professional communication needs.|Although two-way pagers were popular in the 1990s, they have been largely replaced by more versatile and feature-rich mobile communication devices.
G01.1_1516508996_4	set-top box	It is a specialized electronic device that connects to a television set and provides access to various services and content. It typically serves as a bridge between the television and external sources, such as cable or satellite television signals, internet streaming services, or digital media players. The set-top box receives signals or data from these sources and converts them into a format that the television can display.	A set-top box is a device that connects to a television and an external source of signal, converting the signal into content which is then displayed on the television screen.|Set-top boxes are commonly used to receive digital television broadcasts and provide access to internet-based services, including video-on-demand, interactive television, and home networking features.	The set-top box market is expected to witness a decline in the coming years due to the increasing popularity of smart TVs that have built-in streaming capabilities.|The integration of voice commands and artificial intelligence into set-top boxes is revolutionizing the way users interact with their television content.|Content providers are constantly developing new applications and services to be compatible with set-top box platforms, enhancing the user experience and expanding the range of available content.|The set-top box industry is facing challenges related to content piracy and unauthorized streaming services that bypass the traditional distribution channels.
G01.1_1516508996_4	internet terminal	It is a dedicated device or computer station designed primarily for accessing the internet. It typically consists of a monitor or screen, a keyboard, and sometimes a mouse or touchpad. Internet terminals are often found in public places like libraries, airports, or cafes, providing users with a simple and convenient way to go online without needing their own personal computer or device.	An internet terminal is a dedicated device or a computer workstation that provides access to the internet and web-based applications.|Internet terminals are commonly used in public spaces such as libraries, airports, and cafes to allow users to browse the internet without needing their own personal devices.	The installation of internet terminals in public libraries has significantly improved digital access and connectivity for underserved communities, contributing to the overall goal of bridging the digital divide.|Many modern internet terminals are equipped with touch-screen interfaces and intuitive user experiences to cater to users of all ages and technical backgrounds.|The demand for secure and reliable internet terminals in commercial settings has led to the development of advanced authentication and encryption protocols to protect user data and privacy.|Internet terminals are often integrated with printing and scanning capabilities to provide users with a comprehensive set of digital services in a single location.
G01.1_1516508996_5	dhrystone MIPS	It refers to a metric used to measure the processing speed or performance of a computer system, particularly in terms of integer arithmetic operations. It is derived from the Dhrystone benchmark, a synthetic benchmark program used to evaluate the integer performance of computer systems.	Dhrystone MIPS is a standard benchmark used to measure the performance of a computer's processor in terms of millions of instructions per second (MIPS).|The Dhrystone benchmark is widely used to evaluate the integer performance of computer processors and is often reported in terms of Dhrystone MIPS.	The processor's performance was measured using the Dhrystone benchmark, and the results showed a significant improvement compared to the previous generation.|The Dhrystone MIPS score of the new processor was found to be higher than that of its competitor, indicating better integer performance.
G01.1_1516508996_7	full duplexed	It is a communication mode in which data transmission can occur simultaneously in both directions, allowing for bidirectional communication. In this mode, devices can send and receive data at the same time without needing to wait for one party to finish transmitting before the other can send information.	Full duplexed refers to a communication system or device that can transmit and receive data simultaneously, allowing for two-way communication without the need for switching between transmit and receive modes.|Full duplexed communication is essential in scenarios where real-time, simultaneous two-way communication is required, such as video conferencing and telecommunication systems.	The network interface card supports full duplexed operation, enabling high-speed data transfer in both directions simultaneously.|The full duplexed nature of the communication channel allowed for seamless exchange of data between the server and the client.
G07.2_2749521565_1	evidential approach	It is a methodological framework characterized by its emphasis on the systematic evaluation and analysis of empirical evidence to inform rational judgment, inference, or decision-making processes across various domains.	In computer science, the evidential approach refers to a methodology that emphasizes the use of evidence-based reasoning and decision-making in the development of algorithms and systems.|The evidential approach in computer science involves the systematic collection, analysis, and interpretation of various forms of evidence to support the design and implementation of software applications.	The study compared the traditional approach with the evidential approach in software development.|Researchers used an evidential approach to evaluate the performance of different machine learning models.|The evidential approach has gained attention as a promising framework for addressing uncertainty in data-driven applications.|The evidential approach was applied to the analysis of cybersecurity threats in a large-scale network environment.
G07.2_2749521565_3	prima facie case	It is a set of initial evidence or facts presented by one party in a legal proceeding, which, if accepted as true, is deemed adequate to support the legal elements of a claim or cause of action without further evidence or argument.	In legal informatics, a prima facie case refers to the initial evidence presented in a legal dispute that is sufficient to establish a fact or raise a presumption of truth.|A prima facie case in computer science involves the presentation of compelling evidence to support a claim or hypothesis before further investigation or analysis is conducted.	The legal team built a prima facie case for the intellectual property dispute.|The researcher outlined a prima facie case for the proposed algorithm's efficiency based on preliminary results.|The prima facie case for the software vulnerability was based on the initial analysis of the system's code.|The presentation of the prima facie case played a crucial role in shaping the direction of the legal proceedings.
G07.1_2888100547_2	confirmation bias	It is a cognitive tendency characterized by the selective processing and interpretation of information in a manner that aligns with pre-existing beliefs. It involves a propensity to seek out information that confirms one's existing beliefs while disregarding or downplaying contradictory evidence.	Confirmation bias refers to the tendency of individuals to favor information that confirms their preexisting beliefs or hypotheses.|In the context of machine learning, confirmation bias can lead to the overfitting of models, where the model performs well on the training data but poorly on unseen data.	The study aimed to investigate the impact of confirmation bias on decision-making in the field of artificial intelligence.|The experiment revealed the presence of confirmation bias in the selection of training data for the neural network model.|The research paper discussed the implications of confirmation bias in algorithmic decision-making processes.
